nba_game_id,series_id,round_number,series_game_number,team_a,team_b,matchup,regulation_control_result,binary_control_accuracy_eligible,adjudicability_status,team_a_control_share,team_b_control_share,timing_eligible,explicit_call_eligible,categorical_eligible,continuous_eligible,forecast_control_team_tricode,categorical_correct,forecast_team_share,opponent_share,signed_regulation_control_share_margin,home_always_correct,higher_seed_always_correct,edited_note_flag
0042500235,SAS-MIN,2,5,MIN,SAS,MIN @ SAS,TEAM_B_CONTROL,true,DETERMINATE,0.322917,0.463542,true,true,true,true,SAS,true,0.463542,0.322917,0.140625,true,true,false
0042500205,DET-CLE,2,5,CLE,DET,CLE @ DET,TEAM_B_CONTROL,true,DETERMINATE,0.309942,0.444444,true,true,true,true,DET,true,0.444444,0.309942,0.134502,true,true,false
0042500206,DET-CLE,2,6,DET,CLE,DET @ CLE,TEAM_A_CONTROL,true,DETERMINATE,0.432432,0.367568,true,true,true,true,CLE,false,0.367568,0.432432,-0.06486399999999998,false,true,false
0042500236,SAS-MIN,2,6,SAS,MIN,SAS @ MIN,TEAM_A_CONTROL,true,DETERMINATE,0.516304,0.309783,true,true,true,true,SAS,true,0.516304,0.309783,0.206521,false,true,false
0042500207,DET-CLE,2,7,CLE,DET,CLE @ DET,TEAM_A_CONTROL,true,DETERMINATE,0.526946,0.161677,true,true,true,true,DET,false,0.161677,0.526946,-0.36526900000000007,false,false,false
0042500311,SAS-OKC,3,1,SAS,OKC,SAS @ OKC,TEAM_A_CONTROL,true,DETERMINATE,0.423913,0.282609,true,true,true,true,OKC,false,0.282609,0.423913,-0.14130399999999999,false,false,false
0042500312,SAS-OKC,3,2,SAS,OKC,SAS @ OKC,TEAM_B_CONTROL,true,DETERMINATE,0.212435,0.445596,true,true,true,true,OKC,true,0.445596,0.212435,0.23316099999999998,true,true,false
0042500302,NYK-CLE,3,2,CLE,NYK,CLE @ NYK,INDETERMINATE,false,INDETERMINATE,0.325714,0.32,true,true,false,true,NYK,,0.32,0.325714,-0.005713999999999997,false,,false
0042500313,SAS-OKC,3,3,OKC,SAS,OKC @ SAS,INDETERMINATE,false,INDETERMINATE,0.305699,0.435233,true,true,false,true,OKC,,0.305699,0.435233,-0.12953399999999998,false,,false
0042500303,NYK-CLE,3,3,NYK,CLE,NYK @ CLE,TEAM_A_CONTROL,true,DETERMINATE,0.46114,0.222798,true,true,true,true,NYK,true,0.46114,0.222798,0.238342,false,true,false
0042500314,SAS-OKC,3,4,OKC,SAS,OKC @ SAS,TEAM_B_CONTROL,true,DETERMINATE,0.251309,0.439791,true,true,true,true,OKC,false,0.251309,0.439791,-0.18848199999999998,true,false,false
0042500304,NYK-CLE,3,4,NYK,CLE,NYK @ CLE,TEAM_A_CONTROL,true,DETERMINATE,0.556818,0.244318,true,true,true,true,NYK,true,0.556818,0.244318,0.3125,false,true,false
0042500315,SAS-OKC,3,5,SAS,OKC,SAS @ OKC,TEAM_B_CONTROL,true,DETERMINATE,0.247525,0.50495,true,true,true,true,OKC,true,0.50495,0.247525,0.257425,true,true,false
0042500316,SAS-OKC,3,6,OKC,SAS,OKC @ SAS,INDETERMINATE,false,INDETERMINATE,0.339181,0.315789,true,true,false,true,OKC,,0.339181,0.315789,0.023392000000000024,false,,false
0042500317,SAS-OKC,3,7,SAS,OKC,SAS @ OKC,TEAM_B_CONTROL,true,DETERMINATE,0.333333,0.42623,true,true,true,true,SAS,false,0.333333,0.42623,-0.09289700000000001,true,true,false
0042500401,NYK-SAS,4,1,NYK,SAS,NYK @ SAS,TEAM_A_CONTROL,true,DETERMINATE,0.546875,0.286458,true,true,true,true,NYK,true,0.546875,0.286458,0.260417,false,false,false
0042500402,NYK-SAS,4,2,NYK,SAS,NYK @ SAS,INDETERMINATE,false,INDETERMINATE,0.329897,0.345361,true,true,false,true,NYK,,0.329897,0.345361,-0.015463999999999978,false,,false
0042500403,NYK-SAS,4,3,SAS,NYK,SAS @ NYK,TEAM_A_CONTROL,true,DETERMINATE,0.538043,0.282609,true,true,true,true,NYK,false,0.282609,0.538043,-0.25543400000000005,false,true,false
0042500404,NYK-SAS,4,4,SAS,NYK,SAS @ NYK,TEAM_B_CONTROL,true,DETERMINATE,0.289617,0.502732,true,true,true,true,NYK,true,0.502732,0.289617,0.21311499999999994,true,false,false
0042500405,NYK-SAS,4,5,NYK,SAS,NYK @ SAS,INDETERMINATE,false,INDETERMINATE,0.421348,0.393258,true,true,false,true,NYK,,0.421348,0.393258,0.028090000000000004,false,,false
