forecast_id,note_id,canonical_note_url,published_at_utc,nba_game_id,nba_game_url,gamebook_url,scheduled_tipoff_utc,actual_start_utc,tipoff_verification_status,local_only_validation
RF2026-044,c-256493386,https://substack.com/@markbarnekow/note/c-256493386,2026-05-09T23:23:06.443000Z,0042500223,https://www.nba.com/game/okc-vs-lal-0042500223,https://statsdmz.nba.com/pdfs/20260509/20260509_OKCLAL_book.pdf,2026-05-10T00:30:00Z,2026-05-10T00:42:00Z,verified,URLs recorded from frozen ledger; not accessed during this local validation.
RF2026-045,c-256676789,https://substack.com/@markbarnekow/note/c-256676789,2026-05-10T11:41:56.844000Z,0042500214,https://www.nba.com/game/nyk-vs-phi-0042500214,https://statsdmz.nba.com/pdfs/20260510/20260510_NYKPHI_book.pdf,2026-05-10T19:30:00Z,2026-05-10T19:41:00Z,verified,URLs recorded from frozen ledger; not accessed during this local validation.
RF2026-046,c-256682847,https://substack.com/@markbarnekow/note/c-256682847,2026-05-10T11:59:53.918000Z,0042500234,https://www.nba.com/game/sas-vs-min-0042500234,https://statsdmz.nba.com/pdfs/20260510/20260510_SASMIN_book.pdf,2026-05-10T23:30:00Z,2026-05-10T23:43:00Z,verified,URLs recorded from frozen ledger; not accessed during this local validation.
RF2026-047,c-257256614,https://substack.com/@markbarnekow/note/c-257256614,2026-05-11T14:35:46.764000Z,0042500204,https://www.nba.com/game/det-vs-cle-0042500204,https://statsdmz.nba.com/pdfs/20260511/20260511_DETCLE_book.pdf,2026-05-12T00:00:00Z,2026-05-12T00:12:00Z,verified,URLs recorded from frozen ledger; not accessed during this local validation.
RF2026-048,c-257263987,https://substack.com/@markbarnekow/note/c-257263987,2026-05-11T14:49:14.248000Z,0042500224,https://www.nba.com/game/okc-vs-lal-0042500224,https://statsdmz.nba.com/pdfs/20260511/20260511_OKCLAL_book.pdf,2026-05-12T02:30:00Z,2026-05-12T02:48:00Z,verified,URLs recorded from frozen ledger; not accessed during this local validation.
RF2026-049,c-258074436,https://substack.com/@markbarnekow/note/c-258074436,2026-05-12T22:57:55.004000Z,0042500235,https://www.nba.com/game/min-vs-sas-0042500235,https://statsdmz.nba.com/pdfs/20260512/20260512_MINSAS_book.pdf,2026-05-13T00:00:00Z,2026-05-13T00:14:00Z,verified,URLs recorded from frozen ledger; not accessed during this local validation.
RF2026-050,c-258647626,https://substack.com/@markbarnekow/note/c-258647626,2026-05-13T23:20:12.966000Z,0042500205,https://www.nba.com/game/cle-vs-det-0042500205,https://statsdmz.nba.com/pdfs/20260513/20260513_CLEDET_book.pdf,2026-05-14T00:00:00Z,2026-05-14T00:15:00Z,verified,URLs recorded from frozen ledger; not accessed during this local validation.
RF2026-051,c-259734277,https://substack.com/@markbarnekow/note/c-259734277,2026-05-15T22:19:48.233000Z,0042500206,https://www.nba.com/game/det-vs-cle-0042500206,https://statsdmz.nba.com/pdfs/20260515/20260515_DETCLE_book.pdf,2026-05-15T23:00:00Z,2026-05-15T23:12:00Z,verified,URLs recorded from frozen ledger; not accessed during this local validation.
RF2026-052,c-259742830,https://substack.com/@markbarnekow/note/c-259742830,2026-05-15T22:40:03.871000Z,0042500236,https://www.nba.com/game/sas-vs-min-0042500236,https://statsdmz.nba.com/pdfs/20260515/20260515_SASMIN_book.pdf,2026-05-16T01:30:00Z,2026-05-16T01:49:00Z,verified,URLs recorded from frozen ledger; not accessed during this local validation.
RF2026-053,c-260726412,https://substack.com/@markbarnekow/note/c-260726412,2026-05-17T22:50:54.918000Z,0042500207,https://www.nba.com/game/cle-vs-det-0042500207,https://statsdmz.nba.com/pdfs/20260517/20260517_CLEDET_book.pdf,2026-05-18T00:00:00Z,2026-05-18T00:15:00Z,verified,URLs recorded from frozen ledger; not accessed during this local validation.
