forecast_id,note_id,canonical_note_url,published_at_utc,official_tipoff_utc,lead_time_minutes,actual_start_utc,lead_time_to_actual_start_minutes,prospective_timing_basis,prospective_status_final,nba_game_id,round,series_key,official_game_number,away_team,home_team,predicted_control_team,predicted_outcome_team,analysis_outcome_call_correct,edited_flag,metadata_correction_flag,strict_prospective_sample,strict_sample_exclusion_reason
RF2026-027,c-251266408,https://substack.com/@markbarnekow/note/c-251266408,2026-04-29T22:34:17.255000Z,2026-04-30T02:00:00Z,205.71241666666668,2026-04-30T02:19:00Z,224.71241666666668,PUBLISHED_BEFORE_RECORDED_ACTUAL_START,confirmed_prospective,0042500175,First Round,LAL-HOU,5,HOU,LAL,LAL,LAL,False,False,False,True,
RF2026-028,c-251814143,https://substack.com/@markbarnekow/note/c-251814143,2026-04-30T22:48:33.960000Z,2026-05-01T00:00:00Z,71.434,2026-05-01T00:14:00Z,85.434,PUBLISHED_BEFORE_RECORDED_ACTUAL_START,confirmed_prospective,0042500116,First Round,BOS-PHI,6,BOS,PHI,BOS,BOS,False,False,True,True,
RF2026-029,c-251807532,https://substack.com/@markbarnekow/note/c-251807532,2026-04-30T22:31:34.551000Z,2026-04-30T23:00:00Z,28.42415,2026-04-30T23:13:00Z,41.424150000000004,PUBLISHED_BEFORE_RECORDED_ACTUAL_START,confirmed_prospective,0042500126,First Round,NYK-ATL,6,NYK,ATL,NYK,NYK,True,False,False,True,
RF2026-030,c-252320322,https://substack.com/@markbarnekow/note/c-252320322,2026-05-01T22:15:24.475000Z,2026-05-01T23:00:00Z,44.592083333333335,2026-05-01T23:10:00Z,54.592083333333335,PUBLISHED_BEFORE_RECORDED_ACTUAL_START,confirmed_prospective,0042500106,First Round,DET-ORL,6,DET,ORL,DET,DET,True,False,False,True,
RF2026-031,c-252325571,https://substack.com/@markbarnekow/note/c-252325571,2026-05-01T22:28:31.195000Z,2026-05-02T01:30:00Z,181.48008333333334,2026-05-02T01:49:00Z,200.48008333333334,PUBLISHED_BEFORE_RECORDED_ACTUAL_START,confirmed_prospective,0042500176,First Round,LAL-HOU,6,LAL,HOU,HOU,HOU,False,False,False,True,
RF2026-032,c-252800863,https://substack.com/@markbarnekow/note/c-252800863,2026-05-02T22:27:54.830000Z,2026-05-02T23:30:00Z,62.08616666666667,2026-05-02T23:37:00Z,69.08616666666667,PUBLISHED_BEFORE_RECORDED_ACTUAL_START,confirmed_prospective,0042500117,First Round,BOS-PHI,7,PHI,BOS,PHI,PHI,True,False,False,True,
RF2026-033,c-252993763,https://substack.com/@markbarnekow/note/c-252993763,2026-05-03T11:42:40.350000Z,2026-05-03T19:30:00Z,467.32750000000004,2026-05-03T19:42:00Z,479.32750000000004,PUBLISHED_BEFORE_RECORDED_ACTUAL_START,confirmed_prospective,0042500107,First Round,DET-ORL,7,ORL,DET,DET,DET,True,False,False,True,
RF2026-034,c-253796252,https://substack.com/@markbarnekow/note/c-253796252,2026-05-04T22:22:24.864000Z,2026-05-05T00:00:00Z,97.58560000000001,2026-05-05T00:14:00Z,111.58560000000001,PUBLISHED_BEFORE_RECORDED_ACTUAL_START,confirmed_prospective,0042500211,Conference Semifinals,NYK-PHI,1,PHI,NYK,NYK,NYK,True,False,False,True,
RF2026-035,c-253800609,https://substack.com/@markbarnekow/note/c-253800609,2026-05-04T22:32:13.471000Z,2026-05-05T01:30:00Z,177.77548333333334,2026-05-05T01:44:00Z,191.77548333333334,PUBLISHED_BEFORE_RECORDED_ACTUAL_START,confirmed_prospective,0042500231,Conference Semifinals,SAS-MIN,1,MIN,SAS,SAS,SAS,False,False,False,True,
RF2026-036,c-254084561,https://substack.com/@markbarnekow/note/c-254084561,2026-05-05T13:59:43.936000Z,2026-05-05T23:00:00Z,540.2677333333334,2026-05-05T23:10:00Z,550.2677333333334,PUBLISHED_BEFORE_RECORDED_ACTUAL_START,confirmed_prospective,0042500201,Conference Semifinals,DET-CLE,1,CLE,DET,DET,DET,True,False,False,True,
RF2026-037,c-254086197,https://substack.com/@markbarnekow/note/c-254086197,2026-05-05T14:02:54.906000Z,2026-05-06T00:30:00Z,627.0849,2026-05-06T00:43:00Z,640.0849,PUBLISHED_BEFORE_RECORDED_ACTUAL_START,confirmed_prospective,0042500221,Conference Semifinals,OKC-LAL,1,LAL,OKC,OKC,OKC,True,False,False,True,
RF2026-038,c-254646873,https://substack.com/@markbarnekow/note/c-254646873,2026-05-06T14:31:32.711000Z,2026-05-06T23:00:00Z,508.45481666666666,2026-05-06T23:14:00Z,522.4548166666667,PUBLISHED_BEFORE_RECORDED_ACTUAL_START,confirmed_prospective,0042500212,Conference Semifinals,NYK-PHI,2,PHI,NYK,NYK,NYK,True,False,False,True,
RF2026-039,c-254651818,https://substack.com/@markbarnekow/note/c-254651818,2026-05-06T14:40:50.486000Z,2026-05-07T01:30:00Z,649.1585666666667,2026-05-07T01:49:00Z,668.1585666666667,PUBLISHED_BEFORE_RECORDED_ACTUAL_START,confirmed_prospective,0042500232,Conference Semifinals,SAS-MIN,2,MIN,SAS,SAS,SAS,True,False,False,True,
RF2026-040,c-255428705,https://substack.com/@markbarnekow/note/c-255428705,2026-05-07T22:32:56.094000Z,2026-05-07T23:00:00Z,27.065099999999997,2026-05-07T23:12:00Z,39.0651,PUBLISHED_BEFORE_RECORDED_ACTUAL_START,confirmed_prospective,0042500202,Conference Semifinals,DET-CLE,2,CLE,DET,DET,DET,True,False,False,True,
RF2026-041,c-255436676,https://substack.com/@markbarnekow/note/c-255436676,2026-05-07T22:53:34.150000Z,2026-05-08T01:30:00Z,156.43083333333334,2026-05-08T01:46:00Z,172.43083333333334,PUBLISHED_BEFORE_RECORDED_ACTUAL_START,confirmed_prospective,0042500222,Conference Semifinals,OKC-LAL,2,LAL,OKC,OKC,OKC,True,False,False,True,
RF2026-042,c-255646983,https://substack.com/@markbarnekow/note/c-255646983,2026-05-08T10:24:54.206000Z,2026-05-08T23:00:00Z,755.0965666666667,2026-05-08T23:12:00Z,767.0965666666667,PUBLISHED_BEFORE_RECORDED_ACTUAL_START,confirmed_prospective,0042500213,Conference Semifinals,NYK-PHI,3,NYK,PHI,NYK,NYK,True,False,False,True,
RF2026-043,c-255651118,https://substack.com/@markbarnekow/note/c-255651118,2026-05-08T10:38:40.074000Z,2026-05-09T01:30:00Z,891.3321,2026-05-09T01:49:00Z,910.3321,PUBLISHED_BEFORE_RECORDED_ACTUAL_START,confirmed_prospective,0042500233,Conference Semifinals,SAS-MIN,3,SAS,MIN,SAS,SAS,True,False,False,True,
RF2026-044,c-256493386,https://substack.com/@markbarnekow/note/c-256493386,2026-05-09T23:23:06.443000Z,2026-05-10T00:30:00Z,66.89261666666667,2026-05-10T00:42:00Z,78.89261666666667,PUBLISHED_BEFORE_RECORDED_ACTUAL_START,confirmed_prospective,0042500223,Conference Semifinals,OKC-LAL,3,OKC,LAL,OKC,OKC,True,False,False,True,
RF2026-045,c-256676789,https://substack.com/@markbarnekow/note/c-256676789,2026-05-10T11:41:56.844000Z,2026-05-10T19:30:00Z,468.0526,2026-05-10T19:41:00Z,479.0526,PUBLISHED_BEFORE_RECORDED_ACTUAL_START,confirmed_prospective,0042500214,Conference Semifinals,NYK-PHI,4,NYK,PHI,NO_CONTROL_CALL,NYK,True,False,False,True,
RF2026-046,c-256682847,https://substack.com/@markbarnekow/note/c-256682847,2026-05-10T11:59:53.918000Z,2026-05-10T23:30:00Z,690.1013666666666,2026-05-10T23:43:00Z,703.1013666666666,PUBLISHED_BEFORE_RECORDED_ACTUAL_START,confirmed_prospective,0042500234,Conference Semifinals,SAS-MIN,4,SAS,MIN,SAS,SAS,False,False,False,True,
RF2026-047,c-257256614,https://substack.com/@markbarnekow/note/c-257256614,2026-05-11T14:35:46.764000Z,2026-05-12T00:00:00Z,564.2206,2026-05-12T00:12:00Z,576.2206,PUBLISHED_BEFORE_RECORDED_ACTUAL_START,confirmed_prospective,0042500204,Conference Semifinals,DET-CLE,4,DET,CLE,DET,DET,False,False,False,True,
RF2026-048,c-257263987,https://substack.com/@markbarnekow/note/c-257263987,2026-05-11T14:49:14.248000Z,2026-05-12T02:30:00Z,700.7625333333333,2026-05-12T02:48:00Z,718.7625333333333,PUBLISHED_BEFORE_RECORDED_ACTUAL_START,confirmed_prospective,0042500224,Conference Semifinals,OKC-LAL,4,OKC,LAL,OKC,OKC,True,False,False,True,
RF2026-049,c-258074436,https://substack.com/@markbarnekow/note/c-258074436,2026-05-12T22:57:55.004000Z,2026-05-13T00:00:00Z,62.08326666666667,2026-05-13T00:14:00Z,76.08326666666667,PUBLISHED_BEFORE_RECORDED_ACTUAL_START,confirmed_prospective,0042500235,Conference Semifinals,SAS-MIN,5,MIN,SAS,SAS,SAS,True,False,False,True,
RF2026-050,c-258647626,https://substack.com/@markbarnekow/note/c-258647626,2026-05-13T23:20:12.966000Z,2026-05-14T00:00:00Z,39.7839,2026-05-14T00:15:00Z,54.7839,PUBLISHED_BEFORE_RECORDED_ACTUAL_START,confirmed_prospective,0042500205,Conference Semifinals,DET-CLE,5,CLE,DET,DET,DET,False,False,False,True,
RF2026-051,c-259734277,https://substack.com/@markbarnekow/note/c-259734277,2026-05-15T22:19:48.233000Z,2026-05-15T23:00:00Z,40.19611666666666,2026-05-15T23:12:00Z,52.19611666666666,PUBLISHED_BEFORE_RECORDED_ACTUAL_START,confirmed_prospective,0042500206,Conference Semifinals,DET-CLE,6,DET,CLE,CLE,CLE,False,False,False,True,
RF2026-052,c-259742830,https://substack.com/@markbarnekow/note/c-259742830,2026-05-15T22:40:03.871000Z,2026-05-16T01:30:00Z,169.93548333333334,2026-05-16T01:49:00Z,188.93548333333334,PUBLISHED_BEFORE_RECORDED_ACTUAL_START,confirmed_prospective,0042500236,Conference Semifinals,SAS-MIN,6,SAS,MIN,SAS,SAS,True,False,False,True,
RF2026-053,c-260726412,https://substack.com/@markbarnekow/note/c-260726412,2026-05-17T22:50:54.918000Z,2026-05-18T00:00:00Z,69.08470000000001,2026-05-18T00:15:00Z,84.08470000000001,PUBLISHED_BEFORE_RECORDED_ACTUAL_START,confirmed_prospective,0042500207,Conference Semifinals,DET-CLE,7,CLE,DET,DET,DET,False,False,False,True,
RF2026-054,c-261288609,https://substack.com/@markbarnekow/note/c-261288609,2026-05-18T22:58:14.455000Z,2026-05-19T00:30:00Z,91.75908333333334,2026-05-19T00:38:00Z,99.75908333333334,PUBLISHED_BEFORE_RECORDED_ACTUAL_START,confirmed_prospective,0042500311,Conference Finals,SAS-OKC,1,SAS,OKC,OKC,OKC,False,False,False,True,
RF2026-056,c-262463628,https://substack.com/@markbarnekow/note/c-262463628,2026-05-20T22:48:48.208000Z,2026-05-21T00:30:00Z,101.19653333333333,2026-05-21T00:37:00Z,108.19653333333333,PUBLISHED_BEFORE_RECORDED_ACTUAL_START,confirmed_prospective,0042500312,Conference Finals,SAS-OKC,2,SAS,OKC,OKC,OKC,True,False,False,True,
RF2026-057,c-263034483,https://substack.com/@markbarnekow/note/c-263034483,2026-05-21T22:37:59.885000Z,2026-05-22T00:00:00Z,82.00191666666666,2026-05-22T00:14:00Z,96.00191666666666,PUBLISHED_BEFORE_RECORDED_ACTUAL_START,confirmed_prospective,0042500302,Conference Finals,NYK-CLE,2,CLE,NYK,NYK,NYK,True,False,False,True,
RF2026-058,c-263355746,https://substack.com/@markbarnekow/note/c-263355746,2026-05-22T14:42:49.239000Z,2026-05-23T00:30:00Z,587.17935,2026-05-23T00:37:00Z,594.17935,PUBLISHED_BEFORE_RECORDED_ACTUAL_START,confirmed_prospective,0042500313,Conference Finals,SAS-OKC,3,OKC,SAS,OKC,OKC,True,False,False,True,
RF2026-059,c-264002697,https://substack.com/@markbarnekow/note/c-264002697,2026-05-23T18:58:31.324000Z,2026-05-24T00:00:00Z,301.47793333333334,2026-05-24T00:14:00Z,315.47793333333334,PUBLISHED_BEFORE_RECORDED_ACTUAL_START,confirmed_prospective,0042500303,Conference Finals,NYK-CLE,3,NYK,CLE,NYK,NYK,True,False,False,True,
