nba_game_id,series_id,round_number,matchup_number,series_game_number,away_team_tricode,home_team_tricode,cap_team_a,cap_team_b,cap_team_a_control_share,cap_team_b_control_share,cap_home_minus_away_share,absolute_cap_share_gap,cap_categorical_controller,cap_controller_location,cap_determinacy_status,away_seed,home_seed,higher_seed_location,forecast_source_id,forecast_control_team_tricode,official_away_score,official_home_score,final_home_minus_away_margin,absolute_final_margin,winner_location,halftime_home_minus_away_margin,absolute_halftime_margin,halftime_leader,home_led_seconds,away_led_seconds,tied_seconds,lead_duration_difference,absolute_lead_duration_difference,team_led_longer,home_largest_lead,away_largest_lead,largest_lead_team,signed_largest_lead_advantage,absolute_largest_lead_advantage,larger_largest_lead,lead_changes,clutch_game,one_possession_game,overtime,number_of_overtimes,permanent_winner_lead_fraction,pbp_validation_status,source_reconciliation_status,missingness_status
0042500151,SAS-POR,1,4,1,POR,SAS,POR,SAS,0.449735,0.391534,-0.058201,0.058201,indeterminate,INDETERMINATE,INDETERMINATE,7,2,HOME,RF2026-004,SAS,98,111,13,13,HOME,10,10,HOME,2685.0,100.0,95.0,2585.0,2585.0,HOME,21,3,HOME,18,18,21,6,False,False,False,0,0.10451388888888889,PASS,PASS,NO_MISSING_REQUIRED_FIELDS
0042500152,SAS-POR,1,4,2,POR,SAS,POR,SAS,0.471503,0.300518,-0.170985,0.170985,POR,AWAY,DETERMINATE,7,2,HOME,RF2026-007,SAS,106,103,-3,3,AWAY,0,0,TIED,1507.9,1092.7,279.4,415.2,415.2,HOME,14,13,HOME,1,1,14,9,True,True,False,0,0.9576388888888889,PASS,PASS,NO_MISSING_REQUIRED_FIELDS
0042500153,SAS-POR,1,4,3,SAS,POR,SAS,POR,0.381443,0.386598,0.005155,0.005155,indeterminate,INDETERMINATE,INDETERMINATE,2,7,AWAY,RF2026-013,SAS,120,108,-12,12,AWAY,6,6,HOME,1753.0,852.9,274.1,900.1,900.1,HOME,15,15,TIED,0,0,15,9,False,False,False,0,0.8145833333333333,PASS,PASS,NO_MISSING_REQUIRED_FIELDS
0042500154,SAS-POR,1,4,4,SAS,POR,SAS,POR,0.430769,0.287179,-0.143590,0.143590,SAS,AWAY,DETERMINATE,2,7,AWAY,RF2026-019,SAS,114,93,-21,21,AWAY,17,17,HOME,1687.6,1067.7,124.7,619.9,619.9,HOME,19,21,AWAY,-2,2,21,9,False,False,False,0,0.76875,PASS,PASS,NO_MISSING_REQUIRED_FIELDS
0042500155,SAS-POR,1,4,5,POR,SAS,POR,SAS,0.383784,0.416216,0.032432,0.032432,indeterminate,INDETERMINATE,INDETERMINATE,7,2,HOME,RF2026-025,SAS,95,114,19,19,HOME,20,20,HOME,2847.0,0.0,33.0,2847.0,2847.0,HOME,28,0,HOME,28,28,28,0,False,False,False,0,0.028125,PASS,PASS,NO_MISSING_REQUIRED_FIELDS
0042500172,LAL-HOU,1,6,2,HOU,LAL,HOU,LAL,0.39548,0.519774,0.124294,0.124294,indeterminate,INDETERMINATE,INDETERMINATE,5,4,HOME,RF2026-008,HOU,94,101,7,7,HOME,3,3,HOME,2302.0,461.0,117.0,1841.0,1841.0,HOME,15,4,HOME,11,11,15,7,True,False,False,0,0.5451388888888888,PASS,PASS,NO_MISSING_REQUIRED_FIELDS
0042500173,LAL-HOU,1,6,3,LAL,HOU,LAL,HOU,0.248649,0.497297,0.248648,0.248648,HOU,HOME,DETERMINATE,4,5,AWAY,RF2026-014,LAL,112,108,-4,4,AWAY,-11,11,AWAY,357.4,2349.0,173.6,-1991.6,1991.6,AWAY,6,15,AWAY,-9,9,15,7,True,False,True,1,0.9216981132075471,PASS,PASS,NO_MISSING_REQUIRED_FIELDS
0042500174,LAL-HOU,1,6,4,LAL,HOU,LAL,HOU,0.230769,0.544379,0.313610,0.313610,HOU,HOME,DETERMINATE,4,5,AWAY,RF2026-020,LAL,96,115,19,19,HOME,9,9,HOME,2298.0,444.0,138.0,1854.0,1854.0,HOME,28,5,HOME,23,23,28,3,False,False,False,0,0.21458333333333332,PASS,PASS,NO_MISSING_REQUIRED_FIELDS
0042500175,LAL-HOU,1,6,5,HOU,LAL,HOU,LAL,0.530726,0.312849,-0.217877,0.217877,HOU,AWAY,DETERMINATE,5,4,HOME,RF2026-027,LAL,99,93,-6,6,AWAY,-4,4,AWAY,897.0,1918.0,65.0,-1021.0,1021.0,AWAY,11,13,AWAY,-2,2,13,5,True,False,False,0,0.45694444444444443,PASS,PASS,NO_MISSING_REQUIRED_FIELDS
0042500176,LAL-HOU,1,6,6,LAL,HOU,LAL,HOU,0.428571,0.086957,-0.341614,0.341614,LAL,AWAY,DETERMINATE,4,5,AWAY,RF2026-031,HOU,98,78,-20,20,AWAY,-18,18,AWAY,402.0,2461.0,17.0,-2059.0,2059.0,AWAY,5,29,AWAY,-24,24,29,5,False,False,False,0,0.15868055555555555,PASS,PASS,NO_MISSING_REQUIRED_FIELDS
