nba_game_id,series,round,series_game_number,away_team,home_team,away_seed,home_seed,rfactor_forecast_team,official_winner,away_score,home_score,final_margin,cap_team_a,cap_team_b,cap_team_a_control_share,cap_team_b_control_share,signed_control_share_difference_team_a_minus_team_b,absolute_control_share_difference,cap_categorical_controller,cap_determinacy_status,cap_controller_matched_winner,rfactor_matched_cap,rfactor_matched_eventual_winner,home_team_won,higher_seed_team,higher_seed_won,overtime,number_of_overtimes,halftime_margin,lead_changes,largest_lead,home_led_seconds,away_led_seconds,tied_seconds,clutch_game,permanent_winner_lead_fraction,one_possession_game,winner_led_fraction,loser_led_fraction
0042500207,DET-CLE,2,7,CLE,DET,4,1,DET,CLE,125,94,31,CLE,DET,0.526946,0.161677,0.36526900000000007,0.36526900000000007,CLE,DETERMINATE,True,False,False,False,DET,False,False,0,17,2,35,29.0,2807.0,44.0,False,0.16180555555555556,False,0.9746527777777778,0.010069444444444445
0042500211,NYK-PHI,2,1,PHI,NYK,7,3,NYK,NYK,98,137,39,PHI,NYK,0.302326,0.575581,-0.273255,0.273255,NYK,DETERMINATE,True,True,True,True,NYK,True,False,0,23,10,40,2608.0,142.0,130.0,False,0.16770833333333332,False,0.9055555555555556,0.049305555555555554
0042500212,NYK-PHI,2,2,PHI,NYK,7,3,NYK,NYK,102,108,6,PHI,NYK,0.208556,0.406417,-0.19786099999999998,0.19786099999999998,NYK,DETERMINATE,True,True,True,True,NYK,True,False,0,1,25,7,876.2,1606.8,397.0,True,0.89375,False,0.30423611111111115,0.5579166666666666
0042500213,NYK-PHI,2,3,NYK,PHI,3,7,NYK,NYK,108,94,14,NYK,PHI,0.391304,0.282609,0.10869499999999999,0.10869499999999999,NYK,DETERMINATE,True,True,True,False,NYK,True,False,0,8,1,16,855.0,1940.0,85.0,False,0.3263888888888889,False,0.6736111111111112,0.296875
0042500214,NYK-PHI,2,4,NYK,PHI,3,7,NO_CONTROL_CALL,NYK,144,114,30,NYK,PHI,0.584337,0.096386,0.487951,0.487951,NYK,DETERMINATE,True,NA,NA,False,NYK,True,False,0,24,1,44,21.0,2799.0,60.0,False,0.028125,False,0.971875,0.007291666666666667
0042500221,OKC-LAL,2,1,LAL,OKC,4,1,OKC,OKC,90,108,18,LAL,OKC,0.237838,0.535135,-0.29729700000000003,0.29729700000000003,OKC,DETERMINATE,True,True,True,True,OKC,True,False,0,8,5,21,2268.4,423.0,188.6,False,0.23666666666666666,False,0.7876388888888889,0.146875
0042500222,OKC-LAL,2,2,LAL,OKC,4,1,OKC,OKC,107,125,18,LAL,OKC,0.285714,0.634921,-0.34920699999999993,0.34920699999999993,OKC,DETERMINATE,True,True,True,True,OKC,True,False,0,1,12,20,2314.1,427.9,138.0,False,0.6111111111111112,False,0.8035069444444444,0.14857638888888888
0042500223,OKC-LAL,2,3,OKC,LAL,1,4,OKC,OKC,131,108,23,OKC,LAL,0.605882,0.088235,0.5176470000000001,0.5176470000000001,OKC,DETERMINATE,True,True,True,False,OKC,True,False,0,2,11,27,319.0,2415.9,145.1,False,0.5413194444444445,False,0.8388541666666667,0.11076388888888888
0042500224,OKC-LAL,2,4,OKC,LAL,1,4,OKC,OKC,115,110,5,OKC,LAL,0.59375,0.239583,0.354167,0.354167,OKC,DETERMINATE,True,True,True,False,OKC,True,False,0,4,13,12,783.7,2012.3,84.0,True,0.988611111111111,False,0.6987152777777778,0.27211805555555557
0042500231,SAS-MIN,2,1,MIN,SAS,6,2,SAS,MIN,104,102,2,MIN,SAS,0.471204,0.225131,0.24607300000000001,0.24607300000000001,MIN,DETERMINATE,True,False,False,False,SAS,False,False,0,0,19,9,1205.7,1021.3,653.0,True,0.8461805555555556,True,0.35461805555555553,0.41864583333333333
